-168.385	-23.11	"DART51426"
153.909	11.929	"DART52402"
164.029	-5.329	"DART52406"
158.453	-15.664	"DART55012"
161.841	-44.898	"DART55042"
145.61	4.06	"DART52403"
154.039	11.869	"DART52402"
155.754	19.261	"DART52401"
-156.54	19.552	"DART51407"
160	-40	"M01"
160	-30	"M02"
160	-20	"M03"
160	-10	"M04"
160	0	"M05"
170	-40	"M06"
170	-30	"M07"
170	-20	"M08"
170	-10	"M09"
170	0	"M10"
180	-40	"M11"
180	-30	"M12"
180	-20	"M13"
180	-10	"M14"
180	0	"M15"
-170	-40	"M16"
-170	-30	"M17"
-170	-20	"M18"
-170	-10	"M19"
-170	0	"M20"
-160	-40	"M21"
-160	-30	"M22"
-160	-20	"M23"
-160	-10	"M24"
-160	0	"M25"
